Month,Day,Time,Quantity,Cost
Sep,4,12.4333333333,95,23000000.0
Sep,5,12.4333333333,64,22580000.0
Sep,6,12.4333333333,63,22511000.0
Sep,7,12.4333333333,46,22291200.0
Sep,8,12.4333333333,59,22150000.0
Sep,9,12.4333333333,83,22115200.0
Sep,10,12.4333333333,60,22202400.0
Sep,11,12.4333333333,54,22380000.0
Sep,12,12.4333333333,62,22347600.0
Sep,13,12.4333333333,50,22281700.0
Sep,14,12.4333333333,82,22298600.0
Sep,15,12.4333333333,72,22400000.0
Sep,16,12.4333333333,62,22350300.0
Sep,17,12.4333333333,65,22508700.0
Sep,18,12.4333333333,58,22551700.0
Sep,19,12.4333333333,74,22394000.0
Sep,20,12.4333333333,33,22450000.0
Sep,21,12.4333333333,61,22486800.0
Sep,22,12.4333333333,101,22353800.0
Sep,23,12.4333333333,72,22500000.0
Sep,24,12.4333333333,128,22500000.0
Sep,25,12.4333333333,63,22687800.0
Sep,26,12.4333333333,80,22450000.0
Sep,27,12.4333333333,144,22380000.0
Sep,28,12.4333333333,88,22516100.0
Sep,29,12.4333333333,103,22374200.0
Sep,30,12.4333333333,107,22500000.0
Oct,1,12.4333333333,118,22570000.0
Oct,2,12.4333333333,92,22571800.0
Oct,3,12.4333333333,79,22589200.0
Oct,4,12.4333333333,56,22652400.0
Oct,5,12.4333333333,130,22987500.0
Oct,6,12.4333333333,133,22959500.0
Oct,7,12.4333333333,37,23100000.0
Oct,8,12.4333333333,71,23100000.0
Oct,9,12.4333333333,70,22875000.0
Oct,10,12.4333333333,150,22300000.0
Oct,11,12.4333333333,88,22679700.0
Oct,12,12.4333333333,66,22671000.0
Oct,13,12.4333333333,62,22616000.0
Oct,14,12.4333333333,62,22550000.0
Oct,15,12.4333333333,43,22550000.0
Oct,16,12.4333333333,67,22438000.0
Oct,17,12.4333333333,53,22550000.0
Oct,18,12.4333333333,70,22562800.0
Oct,19,12.4333333333,48,22458600.0
Oct,20,12.4333333333,69,22451100.0
Oct,21,12.4333333333,70,22500000.0
Oct,22,12.4333333333,45,22493400.0
Oct,23,12.4333333333,46,22500000.0
Oct,24,12.4333333333,90,22681500.0
Oct,25,12.4333333333,81,23069100.0
Oct,26,12.4333333333,26,23399500.0
Oct,27,12.4333333333,51,23102500.0
Oct,28,12.4333333333,60,23140000.0
Oct,29,12.4333333333,87,23000000.0
Oct,30,12.4333333333,75,23063400.0
Oct,31,12.4333333333,104,23240000.0
Nov,1,12.4333333333,103,23333300.0
Nov,2,12.4333333333,164,23499600.0
Nov,3,12.4333333333,130,23680000.0
Nov,4,12.4333333333,88,23712700.0
Nov,5,12.4333333333,141,23505300.0
Nov,6,12.4333333333,327,23107200.0
Nov,7,12.4333333333,142,23167200.0
Nov,8,12.4333333333,77,23200000.0
Nov,9,12.4333333333,46,23100000.0
Nov,10,12.4333333333,97,22853600.0
Nov,11,12.4333333333,75,22844500.0
Nov,12,12.4333333333,66,23114600.0
Nov,13,12.4333333333,52,22988800.0
Nov,14,12.4333333333,151,23338500.0
Nov,15,12.4333333333,114,23300000.0
Nov,16,12.4333333333,53,23300000.0
Nov,17,12.4333333333,63,23248500.0
Nov,18,12.4333333333,73,23104600.0
Nov,19,12.4333333333,75,23118900.0
Nov,20,12.4333333333,84,23090700.0
Nov,21,12.4333333333,81,23171600.0
Nov,22,12.4333333333,106,23051900.0
Nov,23,12.4333333333,131,23073800.0
Nov,24,12.4333333333,55,23250800.0
Nov,25,12.4333333333,128,23231600.0
Nov,26,12.4333333333,79,23105600.0
Nov,27,12.4333333333,84,23222200.0
Nov,28,12.4333333333,102,23159800.0
Nov,29,12.4333333333,73,23309100.0
Nov,30,12.4333333333,102,23330100.0
Dec,1,12.4333333333,135,24020700.0
Dec,2,12.4333333333,119,24000000.0
Dec,3,12.4333333333,88,23481600.0
Dec,4,12.4333333333,148,23382000.0
Dec,5,12.4333333333,125,23600000.0
Dec,6,12.4333333333,83,23588300.0
Dec,7,12.4333333333,137,23355000.0
Dec,8,12.4333333333,95,23200000.0
Dec,9,12.4333333333,95,23080900.0
Dec,10,12.4333333333,69,23319000.0
Dec,11,12.4333333333,95,23044000.0
Dec,12,12.4333333333,96,23006600.0
Dec,13,12.4333333333,103,23128700.0
Dec,14,12.4333333333,96,23206000.0
Dec,15,12.4333333333,98,23000000.0
Dec,16,12.4333333333,45,22873900.0
Dec,17,12.4333333333,59,22996300.0
Dec,18,12.4333333333,83,22876600.0
Dec,19,12.4333333333,57,22700000.0
Dec,20,12.4333333333,109,22500200.0
Dec,21,12.4333333333,222,22835300.0
Dec,22,12.4333333333,73,23455600.0
Dec,23,12.4333333333,141,22805000.0
Dec,24,12.4333333333,174,22422200.0
Dec,25,12.4333333333,101,23000000.0
Dec,26,12.4333333333,74,23083400.0
Dec,27,12.4333333333,74,23123200.0
Dec,28,12.4333333333,130,23294500.0
Dec,29,12.4333333333,89,23619800.0
Dec,30,12.4333333333,90,24857300.0
Dec,31,12.4333333333,120,23900000.0
Jan,1,12.4333333333,171,24207000.0
Jan,2,12.4333333333,86,23666000.0
Jan,3,12.4333333333,57,23673800.0
Jan,4,12.4333333333,109,23408700.0
Jan,5,12.4333333333,83,23258300.0
Jan,6,12.4333333333,68,23483100.0
Jan,7,12.4333333333,75,23450000.0
Jan,8,12.4333333333,41,23455500.0
Jan,9,12.4333333333,52,23415400.0
Jan,10,12.4333333333,73,23541200.0
Jan,11,12.4333333333,49,23737800.0
Jan,12,12.4333333333,58,23672300.0
Jan,13,12.4333333333,82,23829500.0
Jan,14,12.4333333333,92,23691500.0
Jan,15,12.4333333333,82,23760300.0
Jan,16,12.4333333333,112,23739600.0
Jan,17,12.4333333333,103,24092700.0
Jan,18,12.4333333333,32,24765000.0
Jan,25,12.4333333333,80,27398600.0
Jan,26,12.4333333333,78,27475000.0
Jan,27,12.4333333333,71,27625000.0
Jan,28,12.4333333333,52,27995000.0
Jan,29,12.4333333333,155,26707900.0
Jan,30,12.4333333333,191,27800000.0
Jan,31,12.4333333333,102,28080000.0
Feb,1,12.4333333333,53,28480000.0
Feb,2,12.4333333333,107,28950000.0
Feb,3,12.4333333333,91,29587800.0
Feb,4,12.4333333333,75,29000000.0
Feb,5,12.4333333333,75,28129900.0
Feb,6,12.4333333333,58,29399300.0
Feb,7,12.4333333333,46,29000000.0
Feb,8,12.4333333333,62,28950000.0
Feb,9,12.4333333333,70,28496000.0
Feb,10,12.4333333333,52,29025000.0
Feb,11,12.4333333333,51,28824400.0
Feb,12,12.4333333333,117,28500000.0
Feb,13,12.4333333333,94,28597700.0
Feb,14,12.4333333333,162,28597500.0
Feb,15,12.4333333333,54,28632100.0
Feb,16,12.4333333333,69,28500000.0
Feb,17,12.4333333333,72,28567200.0
Feb,18,12.4333333333,60,28679200.0
Feb,19,12.4333333333,97,28429800.0
Feb,20,12.4333333333,76,28400000.0
Feb,21,12.4333333333,52,28400000.0
Feb,22,12.4333333333,81,28400000.0
Feb,23,12.4333333333,95,28000000.0
Feb,24,12.4333333333,134,28173200.0
Feb,25,12.4333333333,78,28000000.0
Feb,26,12.4333333333,72,28126600.0
Feb,27,12.4333333333,72,28150000.0
Feb,28,12.4333333333,62,28220800.0
Feb,29,12.4333333333,100,28594800.0
Mar,1,12.4333333333,70,29000000.0
Mar,2,12.4333333333,53,29325000.0
Mar,3,12.4333333333,70,29415000.0
Mar,4,12.4333333333,70,29506200.0
Mar,5,12.4333333333,115,29379000.0
Mar,6,12.4333333333,63,29300000.0
Mar,7,12.4333333333,75,29300000.0
Mar,8,12.4333333333,68,29129000.0
Mar,9,12.4333333333,68,29156100.0
Mar,10,12.4333333333,50,29100000.0
Mar,11,12.4333333333,39,28829500.0
Mar,12,12.4333333333,82,28976600.0
Mar,13,12.4333333333,74,29142800.0
Mar,14,12.4333333333,62,29148400.0
Mar,15,12.4333333333,67,29177900.0
Mar,16,12.4333333333,145,29300000.0
Mar,17,12.4333333333,90,29313600.0
Mar,18,12.4333333333,119,29162900.0
Mar,19,12.4333333333,70,29102600.0
Mar,20,12.4333333333,202,28846900.0
Mar,21,12.4333333333,86,29238400.0
Mar,22,12.4333333333,87,29197600.0
Mar,23,12.4333333333,35,29286600.0
Mar,24,12.4333333333,77,29112500.0
Mar,25,12.4333333333,152,28900000.0
Mar,26,12.4333333333,53,29133600.0
Mar,27,12.4333333333,52,29119300.0
Mar,28,12.4333333333,66,29150000.0
Mar,29,12.4333333333,74,29184400.0
Mar,30,12.4333333333,60,29129000.0
Mar,31,12.4333333333,102,29320600.0
Apr,1,12.4333333333,220,29600000.0
Apr,2,12.4333333333,137,30100000.0
Apr,3,12.4333333333,134,29914300.0
Apr,4,12.4333333333,136,29814300.0
Apr,5,12.4333333333,156,30000000.0
Apr,6,12.4333333333,48,30077100.0
Apr,7,12.4333333333,87,30000000.0
Apr,8,12.4333333333,117,29700800.0
Apr,9,12.4333333333,46,29714700.0
Apr,10,12.4333333333,135,29700000.0
Apr,11,12.4333333333,90,29698600.0
Apr,12,12.4333333333,83,29680800.0
Apr,13,12.4333333333,17,29638000.0
Apr,14,12.4333333333,46,29750000.0
Apr,15,12.4333333333,69,29503100.0
Apr,16,12.4333333333,43,29527500.0
Apr,17,12.4333333333,82,29567600.0
Apr,18,12.4333333333,40,29509200.0
Apr,19,12.4333333333,158,29577900.0
Apr,20,12.4333333333,67,29673800.0
Apr,21,12.4333333333,59,29699000.0
Apr,22,12.4333333333,63,29600000.0
Apr,23,12.4333333333,45,29593000.0
Apr,24,12.4333333333,33,29695500.0
Apr,25,12.4333333333,23,29700000.0
Apr,26,12.4333333333,90,29600000.0
Apr,27,12.4333333333,29,29500000.0
Apr,28,12.4333333333,56,29594800.0
Apr,29,12.4333333333,62,29650000.0
Apr,30,12.4333333333,110,29495600.0
May,1,12.4333333333,168,29600000.0
May,2,12.4333333333,63,29855800.0
May,3,12.4333333333,99,29600000.0
May,4,12.4333333333,43,29641700.0
May,5,12.4333333333,39,29650000.0
May,6,12.4333333333,36,29600000.0
May,7,12.4333333333,35,29512500.0
May,8,12.4333333333,48,29500500.0
May,9,12.4333333333,76,29422700.0
May,10,12.4333333333,62,29317000.0
May,11,12.4333333333,33,29190200.0
May,12,12.4333333333,34,29368600.0
May,13,12.4333333333,112,29300000.0
May,14,12.4333333333,108,29150000.0
May,15,12.4333333333,57,29103400.0
May,16,12.4333333333,43,29135000.0
May,17,12.4333333333,56,29100000.0
May,18,12.4333333333,69,29193500.0
May,19,12.4333333333,77,29081700.0
May,20,12.4333333333,52,29000000.0
May,21,12.4333333333,40,29000000.0
May,22,12.4333333333,62,28867100.0
May,23,12.4333333333,91,29002200.0
May,24,12.4333333333,44,29112500.0
May,25,12.4333333333,144,29143500.0
May,26,12.4333333333,51,29112900.0
May,27,12.4333333333,57,29190000.0
May,28,12.4333333333,57,29374900.0
May,29,12.4333333333,57,29316900.0
May,30,12.4333333333,92,29214700.0
May,31,12.4333333333,73,29328800.0
Jun,1,12.4333333333,112,29245600.0
Jun,2,12.4333333333,187,29263900.0
Jun,3,12.4333333333,133,29244400.0
Jun,4,12.4333333333,123,28900000.0
Jun,5,12.4333333333,127,29000000.0
Jun,6,12.4333333333,66,29149800.0
Jun,7,12.4333333333,72,28918700.0
